handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
googleanalytics,Google Analytics,1784,3039,1,1,259,1130,12713,502782
avinash,Avinash Kaushik,2115,14120,1,1,88,10,8706,134906
KISSmetrics,KISSmetrics.com,2293,23325,1,1,141956,422,8033,178091
analyticspros,Analytics Pros,1893,3122,1,1,410,81,516,5713
erictpeterson,Eric Peterson,2218,19048,0,1,82,42,1174,13742
waworld,Web Analytics World,2256,6112,1,1,1116,2063,757,10535
ISpeakAnalytics,Accenture Analytics,773,9369,1,1,559,5,484,21548
jimsterne,Jim Sterne,2594,8186,1,1,130,178,1346,13897
DAAorg,DigitalAnalyticsOrg,1925,1313,1,1,265,10,889,11453
justincutroni,Justin Cutroni,2487,7067,0,1,256,208,1122,15021
RevolutionR,Revolution Analytics,1884,2910,1,1,65,250,481,7930
SHamelCP,Stephane Hamel,1949,7139,1,1,589,27,567,5244
BrianClifton,Brian Clifton,1829,1839,1,1,1015,107,594,6384
johnlovett,John Lovett,1959,3018,1,1,1218,6,666,6980
AdobeMktgCloud,Marketing Cloud,2158,9186,1,1,658,1673,2493,121182
BeyWebAnalytics,Beyond Web Analytics,1647,729,1,1,2,0,240,2627
Webtrends,Webtrends,2274,8384,1,1,5255,942,2278,47744
analyticsmarket,Analytics Market,1873,390,1,1,4,0,263,2807
adamgreco,Adam Greco,2121,4514,0,1,181,1814,455,6028
AnilBatra,Anil Batra,2273,6280,1,1,2827,22,510,5855
kdnuggets,Gregory Piatetsky,1925,14359,1,1,361,105,1288,19169
danielwaisberg,Daniel Waisberg,1824,2776,1,1,205,229,447,5478
LunaMetrics,LunaMetrics,2143,4502,1,1,592,214,513,6062
webseoanalytics,Web SEO Analytics,1749,212556,1,1,97,12,2613,50873
pawcon,Predictive Analytics,1787,2533,1,1,5855,1,297,8104
SAPAnalytics,SAP Analytics,2143,18342,1,1,4896,9,1260,33278
ModeAnalytics,MODE,282,89,1,1,150,44,27,538
clicky,Clicky Web Analytics,2212,4601,1,1,2,0,447,5778
DennisMortensen,Dennis R. Mortensen,2209,2300,1,1,291,255,468,4750
Claudia_Imhoff,Claudia Imhoff,2053,16078,1,1,4820,19,692,13242
RoyceWebb,Royce/ESPN Analytics,1873,5265,1,1,827,206,1055,28488
AnalyticsNinja,Yehoshua Coren,1822,4153,1,1,349,826,145,1734
DeloitteBA,Deloitte Analytics,1339,1599,1,1,615,7,433,10699
AllAnalytics,All Analytics,1059,6246,0,1,2637,0,244,8490
comScore,"comScore, Inc.",1931,9219,1,1,29899,306,6385,109360
AnalyticsQueen,Piyanka Jain,1113,328,1,1,81,88,68,1050
WhartonCAI,Wharton Analytics,1906,683,0,1,69,8,246,4182
piwik,Piwik Web Analytics,1788,1146,1,1,14,302,386,5151
SNSanalytics,SNS Analytics,1830,58,1,1,19,1,551,19389
AnalyticsInst,Analytics Institute,1715,357,1,1,628,9,62,1609
jdersh,June Dershewitz,2621,1552,1,1,573,27,308,3253
AnalyticsNick,Nick Iyengar,1922,1545,1,1,142,3,183,1546
CivisAnalytics,Civis Analytics,359,57,1,1,6,39,82,1548
MoodysAnalytics,Moody's Analytics,1521,1828,1,1,209,6,231,7782
FRAnalytics,Front Row Analytics,1862,1784,1,1,675,8,120,4223
AyataAnalytics,AYATA,1779,5663,1,1,5335,32,346,7517
Blackhorse,Blackhorse Analytics,2530,14801,1,1,485,3,209,5458
garyangel,Gary Angel,1919,350,0,1,75,0,280,3206
analyticbridge,Big Data Science,2248,12535,1,1,1797,73,965,18828
museumanalytics,museum-analytics.org,935,804,0,1,34,0,89,1471
IBMbigdata,IBM big data,1156,18729,1,1,1615,334,1302,35906
blastam,Blast Analytics,2116,931,1,1,537,7,114,1251
medriscoll,Michael E. Driscoll,1968,1780,1,1,835,276,959,11522
PocketAnalytics,Pocket Analytics,733,58,1,1,35,0,0,37
ContinuumIO,Continuum Analytics,933,922,1,1,80,59,185,3442
data_nerd,Carla Gentry,1533,117092,1,1,6467,2044,726,12467
sportsmktprof,Sports Mkt Analytics,426,4668,1,1,934,16,60,1829
healthcare_bi,Healthcare Analytics,1952,2370,1,1,1907,4,121,4429
Data_analytics_,Data Analytics,603,1412,1,1,2743,1,102,3250
MicheleJKiss,Michele Kiss,1473,32977,1,1,211,2541,349,4596
pearanalytics,Pear Analytics,2045,4711,1,1,1659,22,169,2468
