handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
cloudera,Cloudera,2079,3432,1,1,509,75,1456,41094
hadoop,Apache Hadoop,1946,20,1,1,8,0,816,17577
hortonworks,Hortonworks,1115,3022,1,1,276,9,700,53622
tlipcon,Todd Lipcon,2036,3419,0,1,592,4,351,6998
twitterhadoop,Hadoop @Twitter,476,112,0,1,18,9,86,3317
acmurthy,Arun C Murthy,1830,5731,1,1,395,75,316,8287
hadoopsummit,Hadoop Summit,1560,1203,1,1,16,1,176,8001
HadoopNews,John Ching,1187,4415,1,1,191,0,369,5720
mikeolson,Mike Olson,2632,5727,1,1,194,199,550,13420
tom_e_white,Tom White,1867,723,0,1,200,79,213,4176
esammer,Eric Sammer,2414,6984,1,1,369,265,260,5249
kevinweil,Kevin Weil,2598,13117,1,1,2012,9276,1022,35611
owen_omalley,Owen O'Malley,1884,655,1,1,357,60,134,2744
mapr,MapR Technologies,2228,1484,1,1,4655,604,328,12507
squarecog,Dmitriy Ryaboy,1799,5133,1,1,687,976,373,7118
IBMbigdata,IBM big data,1156,18729,1,1,1615,334,1302,35906
awadallah,Amr Awadallah,2341,1830,1,1,1435,435,357,9149
gwenshap,Gwen (Chen) Shapira,2404,9590,1,1,1193,82,162,2669
AvikonHadoop,Avik Dey,1268,736,1,1,112,2,74,1532
josh_wills,Josh Wills,2208,7050,1,1,833,4285,271,5361
analyticbridge,Big Data Science,2248,12535,1,1,1797,73,965,18828
merv,Merv Adrian,2341,36100,1,1,735,10,947,13886
cutting,Doug Cutting,2494,657,1,1,99,566,419,9799
HadoopDaily,HadoopDaily,326,1485,0,1,57,0,12,470
CassandraHadoop,Cassandra Hadoop,898,64,0,1,25,0,60,1305
hackingdata,Jeff Hammerbacher,2083,2034,1,1,5377,38,984,15674
Hadoop_Summit,Hadoop Summit 2012,841,85,1,1,16,0,16,398
Love_Hadoop,Hadoop News,1840,484,0,1,7,0,66,1061
hug_uk,Hadoop User Group UK,1233,227,1,1,120,1,27,740
evanchooly,Justin Lee,2017,19178,1,1,516,4,64,957
jeric14,eric baldeschwieler,1764,201,1,1,70,9,125,3469
peteskomoroch,Peter Skomoroch,2227,12802,1,1,1298,5244,1199,17436
IntelHadoop,Intel Hadoop,344,284,1,1,43,155,8,349
HadoopSphere,HadoopSphere,665,279,1,1,27,15,9,262
chihadoopusers,Chicago Hadoop Users,1334,81,1,1,34,0,17,325
HadoopMagazine,Hadoop Magazine,155,144,0,1,978,20,7,272
hadoop_info,hadoop情報,468,5394,0,1,1814,0,8,1571
HadoopKorea,Hadoop Korea,1605,97,0,1,10,0,15,314
asakusa_hadoop,Asakusa Framework,1170,210,1,1,40,3,25,305
skr,Johan Oskarsson,2640,6729,1,1,708,4587,153,4643
hadoopday,Hadoop Day,1406,6,0,1,5,0,9,154
CloudHadoop,Kiran Kumar,889,146,1,0,1174,1,5,1257
hadooparchbook,Hadoop Architectures,136,3,0,1,5,0,1,222
larsgeorge,Lars George,1939,772,0,1,130,32,111,2477
hadoopsummit09,Hadoop Summit 09,1834,12,0,1,1,0,16,159
HenryR,Henry Robinson,2620,2612,1,1,477,136,180,2859
mortardata,Mortar Data,1122,1989,1,1,298,22258,104,1608
allthingshadoop,Joe Stein,1486,1909,1,1,687,167,181,2567
techmilind,Milind Bhandarkar,1500,5096,0,1,377,198,110,1364
HBase,HBase,1853,396,1,1,0,1,317,4874
WANdisco,WANdisco,1955,3342,1,1,875,26,131,8126
katsnelson,Leon Katsnelson,2521,4270,1,1,768,8,137,1580
wattsteve,Steve Watt,2080,4028,1,1,1031,512,106,1467
hadoopmemes,Hadoop Memes,81,75,0,1,173,3,4,105
hadoopworld,Hadoop World,1684,0,0,1,2,0,2,201
lozzd,Laurie Denness,2446,5060,1,1,208,1001,96,1816
ddraj,Devaraj Das,1945,181,0,1,161,0,69,1312
hadoopdc,Hadoop User Group DC,1680,28,0,0,12,0,18,245
atm,Aaron T. Myers,1875,1791,1,1,385,8,59,1681
HadoopWizard,HadoopWizard,504,366,1,1,99,0,7,198
ParquetFormat,Parquet Format,400,85,0,1,17,5,21,749
furukama,Benedikt Koehler,2570,27032,1,1,3459,1906,517,6335
scalding,Scalding,866,602,1,1,74,108,105,2620
posco,P. Oscar Boykin,2438,5957,1,1,631,4191,202,4409
pbrane,Jake Mannix,2618,2054,1,1,506,203,164,3058
planet_Hadoop,planet Hadoop,441,723,0,1,2,0,20,284
jpatanooga,Josh Patterson,2178,10209,1,1,466,338,187,2439
MDMGeek,Prash Chan,1818,19810,1,1,2329,967,234,3998
griggheo,Grig Gheorghiu,1581,4220,0,1,1552,915,132,1721
lynnlangit,Lynn Langit,2601,14116,1,1,377,136,367,3600
HadoopMapReduce,Hadoop MapReduce,1186,0,0,1,0,0,8,250
phunt,Patrick Hunt,2310,2815,0,1,163,32,175,2992
attilacsordas,attilacsordas,2606,17467,1,1,459,111,343,3501
datameer,Datameer,1571,5310,1,1,1160,254,307,5186
inventiongirl,Amina Abdulla,1407,2740,1,1,499,238,69,1897
costinl,Costin Leau,1727,1384,0,1,77,0,112,1896
planetbigdata,Planet big data,1085,3412,0,1,4,0,92,1145
dondrake,Don Drake,1948,3184,1,1,472,453,12,315
hadoopIL,hadoopIL,1537,14,1,1,3,0,3,78
