id,name,url,program,degree,country,state,online,oncampus,department,created_at,updated_at
1,South Dakota State University,http://www.sdstate.edu/mathstat/grad/masters-in-data-science.cfm,Data Science,Masters,US,SD,false,true,Mathematics and Statistics,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC
2,Dakota State University,http://www.dsu.edu/msa/,Analytics,Masters,US,SD,true,true,Business and Information Systems,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC
3,Lewis University,http://www.lewisu.edu/academics/data-science/index.htm,Data Science,Masters,US,IL,true,true,Computer Science,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC
4,Saint Joseph's University,http://online.sju.edu/programs/business-intelligence-masters.asp,Business Intelligence & Analytics,Masters,US,PA,true,true,Business,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC
5,University Of Leeds,http://www.engineering.leeds.ac.uk/computing/postgraduate/masters-advanced-computer-science/,Advanced Computer Science(Data Analytics),Masters,GB,"",false,true,Computer Science,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC
6,Arizona State University,http://wpcarey.asu.edu/undergraduate-degrees/data-analytics,Business Data Analytics,Bachelors,US,AZ,false,true,Business,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC
7,University Of Central Florida,http://dms.stat.ucf.edu/,Data Mining,Masters,US,FL,false,true,Statistics,2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC
8,Hong Kong University of Science & Technology,http://www.rmbi.ust.hk/,Risk Management and Business Intelligence,Bachelors,HK,"",false,true,"",2015-01-10 04:13:13 UTC,2015-01-10 04:13:13 UTC
9,University of Texas Dallas,https://jindal.utdallas.edu/academic-programs/masters-programs/ms-in-business-analytics/,Business Analytics,Masters,US,TX,false,true,Management,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC
10,The Ohio State University,https://data-analytics.osu.edu/,Data Analytics,Bachelors,US,OH,false,true,Interdisciplinary,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC
11,University of Rochester,http://www.rochester.edu/data-science/academics/index.html,Data Science,Bachelors,US,NY,false,true,Interdisciplinary,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC
12,TU Dortmund,http://www.statistik.tu-dortmund.de/701.html,Data Analysis and Management,Bachelors,DE,"",false,true,Statistics,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC
13,TU Dortmund,http://www.statistik.tu-dortmund.de/703.html,Data Science,Masters,DE,"",false,true,Statistics,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC
14,Maastricht University,http://www.maastrichtuniversity.nl/web/Schools/DKE/TargetGroup/ProspectiveStudents/MastersProgrammes/ArtificialIntelligence.htm,Artificial Intelligence,Masters,NL,"",false,true,"",2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC
15,University of Arkansas at Little Rock,http://ualr.edu/informationquality/,Information Quality Program,Masters,US,AR,false,true,Information Quality,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC
16,Worcester Polytechnic Institute,http://www.wpi.edu/academics/datascience.html,Data Science,Masters,US,MA,false,true,"",2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC
17,University Of Colorado,http://leeds.colorado.edu/ms#msba_business_analytics,Business Analytics,Masters,US,CO,false,true,Business,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC
18,Colorado Technical University,http://www.coloradotech.edu/degrees/doctorates/computer-science/big-data,Big Data Analytics,Doctorate,US,CO,true,true,"",2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC
