AgileMetricsID,Datekey,TeamID,SprintID,BacklogItemID,SPCommitted,SPCompleted,FTEquivalents,SprintDurationInBizDays,SPCmpltVsCommitInPercent,BacklogReadiness,BatchId,CreatedDate,ProjectID
38899,20150122,12,187,B-32367,1,1,10.5,49,1,1,177,13:16.1,2014.09.25.Mtrc
38900,20150122,12,193,B-39311,4,4,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38901,20150122,12,193,B-42101,7,7,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38902,20150122,12,193,B-42203,5,5,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38903,20150122,12,193,B-42222,5,5,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38904,20150122,12,193,B-42225,6,6,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38905,20150122,12,193,B-42238,2,2,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38906,20150122,12,193,B-42518,2,2,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38907,20150122,12,193,B-42701,9,9,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38908,20150122,12,193,B-42921,3,3,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38909,20150122,12,193,B-42982,5,5,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38910,20150122,12,193,B-42983,5,5,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38911,20150122,12,193,B-43106,3,3,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38912,20150122,12,193,B-43129,1,1,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38913,20150122,12,193,B-43130,1,1,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38914,20150122,12,193,B-43132,1,1,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38915,20150122,12,193,B-43134,1,1,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38916,20150122,12,193,B-43135,1,1,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38917,20150122,12,193,B-43142,1,1,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38918,20150122,12,193,B-43152,1,1,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38919,20150122,12,193,B-43153,1,1,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38920,20150122,12,193,B-43154,1,1,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38921,20150122,12,193,B-43155,1,1,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38922,20150122,12,193,B-43158,1,1,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38923,20150122,12,193,B-43165,1,1,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38924,20150122,12,193,B-43167,2,2,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38925,20150122,12,193,B-43176,2,2,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38926,20150122,12,193,B-43190,3,3,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38927,20150122,12,193,B-43191,3,3,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
38928,20150122,12,193,B-43265,1,1,10.5,49,1,1,177,13:16.1,2015.01.22.Mtrc
