"Id","Predicted"
60000000,0.33
60000020,0.33
60000040,0.38
60000060,0.32
60000080,0.34
60000100,0.42
60000120,0.47
60000140,0.47
60000160,0.44
60000180,0.41
60000200,0.44
60000220,0.43
60000240,0.43
60000260,0.43
60000280,0.58
60000300,0.39
60000320,0.47
60000340,0.44
60000360,0.39
60000380,0.49
60000400,0.39
60000420,0.34
60000440,0.39
60000460,0.48
60000480,0.55
60000500,0.47
60000520,0.37
60000540,0.4
60000560,0.46
60000580,0.32
60000600,0.36
60000620,0.29
60000640,0.3
60000660,0.42
60000680,0.5
60000700,0.39
60000720,0.42
60000740,0.33
60000760,0.42
60000780,0.44
60000800,0.34
60000820,0.49
60000840,0.31
60000860,0.16
60000880,0.26
60000900,0.52
60000920,0.44
60000940,0.51
60000960,0.43
60000980,0.34
60001000,0.55
60001020,0.36
60001040,0.35
60001060,0.45
60001080,0.29
60001100,0.43
60001120,0.35
60001140,0.36
60001160,0.42
60001180,0.34
60001200,0.35
60001220,0.52
60001240,0.57
60001260,0.37
60001280,0.27
60001300,0.44
60001320,0.29
60001340,0.44
60001360,0.48
60001380,0.43
60001400,0.51
60001420,0.67
60001440,0.44
60001460,0.43
60001480,0.48
60001500,0.59
60001520,0.42
60001540,0.43
60001560,0.36
60001580,0.42
60001600,0.44
60001620,0.39
60001640,0.44
60001660,0.4
60001680,0.35
60001700,0.23
60001720,0.5
60001740,0.44
60001760,0.43
60001780,0.45
60001800,0.33
60001820,0.51
60001840,0.39
60001860,0.43
60001880,0.39
60001900,0.61
60001920,0.33
60001940,0.45
60001960,0.5
60001980,0.37
60000001,0.46
60000021,0.4
60000041,0.44
60000061,0.34
60000081,0.46
60000101,0.4
60000121,0.48
60000141,0.48
60000161,0.32
60000181,0.39
60000201,0.37
60000221,0.35
60000241,0.56
60000261,0.4
60000281,0.41
60000301,0.33
60000321,0.36
60000341,0.49
60000361,0.4
60000381,0.51
60000401,0.59
60000421,0.51
60000441,0.57
60000461,0.44
60000481,0.47
60000501,0.24
60000521,0.43
60000541,0.43
60000561,0.46
60000581,0.41
60000601,0.49
60000621,0.4
60000641,0.45
60000661,0.37
60000681,0.5
60000701,0.33
60000721,0.41
60000741,0.36
60000761,0.55
60000781,0.31
