"","schoolName","schoolLocation","program","url","department","cost","curriculum","prereqcoursework","delivery","length"
"1","Auburn University","Auburn University, Alabama","Online Master of Business Administration with concentration in Business Analytics","http://harbert.auburn.edu/academics/online-programs/mba-online/index.php","Raymond J. Harbert College of Business","http://harbert.auburn.edu/academics/online-programs/mba-online/apply.php","http://harbert.auburn.edu/academics/online-programs/mba-online/courses.php",NA,"Online","36 credit hours"
"2","The University of Alabama","Tuscaloosa, Alabama","M.S. degree in Applied Statistics, Data Mining Track","http://manderson.cba.ua.edu/academics/departments/masters_program/master_of_science_in_applied_statistics","Manderson Graduate School of Business","http://cost.ua.edu/","http://manderson.cba.ua.edu/academics/departments/masters_program/master_of_science_in_applied_statistics","Math, Computer Science","Campus","30 hours"
"3","The University of Alabama","Tuscaloosa, Alabama","Master of Science in Marketing, Specialization in Marketing Analytics","http://bamabydistance.ua.edu/degrees/ms-in-marketing-with-a-specialization-in-marketing-analytics/index.php","Manderson Graduate School of Business","http://bamabydistance.ua.edu/financial-aid-scholarships/tuition.php","http://bamabydistance.ua.edu/degrees/ms-in-marketing-with-a-specialization-in-marketing-analytics/curriculum/index.php",NA,"Campus or Online","9 months/30 hours"
"4","The University of Alabama","Tuscaloosa, Alabama","MBA with concentration in Business Analytics","http://manderson.cba.ua.edu/academics/departments/mba_program/curriculum","Culverhouse College of Commerce","http://manderson.cba.ua.edu/academics/departments/mba_program/application_and_costs","http://manderson.cba.ua.edu/academics/departments/mba_program/curriculum",NA,"Campus","2 years"
"5","The University of Alabama","Tuscaloosa, Alabama","MS in Operations Management - Decision Analytics Track","http://bamabydistance.ua.edu/degrees/ms-in-operations-management-online/curriculum/decision-analytics-track.php","Manderson Graduate School of Business","http://bamabydistance.ua.edu/financial-aid-scholarships/tuition.php","http://bamabydistance.ua.edu/degrees/ms-in-operations-management-online/curriculum/decision-analytics-track.php",NA,"Online","30 credit hours"
"6","Arizona State University","Tempe, Arizona","Master of Science in Business Analytics","https://programs.wpcarey.asu.edu/masters-programs/business-analytics?primary-source=advertising&utm-source=please-contact-mastersindatascience.org","W.P. Carey School of Business","http://wpcarey.asu.edu/masters-programs/business-analytics/program-cost","https://wpcarey.asu.edu/masters-programs/business-analytics/curriculum",NA,"Online or Campus","9 month (FT) or 16 month (online)"
"7","University of Arizona","Tucson, Arizona","Business Intelligence & Analytics (Certificate NDP)","http://grad.arizona.edu/programs/programinfo/BIACRTG","Management Information Systems (MIS) Department, in association with t","http://www.bursar.arizona.edu/students/fees","https://misonline.eller.arizona.edu/certificates/business-intelligence",NA,"Online","9 credits"
"8","University of Arkansas","Fayetteville, Arkansas","Graduate Certificate in Business Analytics","http://gsb.uark.edu/business-analytics-certificate/","Sam M. Walton College of Business","http://gsb.uark.edu/admissions-information/costs-and-funding/","http://gsb.uark.edu/master-of-information-systems/mis-enterprise-certificate/certificate-curricula/",NA,"Campus","12 hours"
"9","University of Arkansas","Fayetteville, Arkansas","Master of Information Systems with Business Analytics Concentration","http://gsb.uark.edu/master-of-information-systems/","Sam M. Walton College of Business","http://gsb.uark.edu/admissions-information/costs-and-funding/","http://gsb.uark.edu/master-of-information-systems/miscurriculum/","Computer Science","Campus","30 credit hours"
"10","University of Arkansas","Fayetteville, Arkansas","Professional Master of Information Systems","http://online.uark.edu/programs/professional-master-information-systems.html","Sam M. Walton College of Business","http://treasurernet.uark.edu/tuition.aspx","http://gsb.uark.edu/master-of-information-systems/miscurriculum/",NA,"Online (one Saturday per month on-campus)","21 months/30 hours"
"11","Galvanize U","San Francisco, California","Master of Engineering in Big Data","http://datascience.galvanizeu.com/masters-in-data-science/?source=degreeprospects","Partnership w/University of New Haven","http://datascience.galvanizeu.com/masters-in-data-science/?source=degreeprospects","http://datascience.galvanizeu.com/masters-in-data-science/?source=degreeprospects","Technical Bachelor's Degree","Campus","12 months / 30 credit hours"
"12","University of California-Berkeley","Berkeley, California","Online Master of Information and Data Science (MIDS)","https://requestinfo.datascience.berkeley.edu/index.html?s=mastersdatasciencesite&l=schools_california--list&c=1002216&utm_source=mastersdatasciencesite&utm_medium=link&utm_campaign=schools_california--list&utm_content=1002216","School of Information","https://requestinfo.datascience.berkeley.edu/index.html?s=mastersdatasciencesite&l=schools_california--list&c=1002216&utm_source=mastersdatasciencesite&utm_medium=link&utm_campaign=schools_california--list&utm_content=1002216","https://requestinfo.datascience.berkeley.edu/index.html?s=mastersdatasciencesite&l=schools_california--list&c=1002216&utm_source=mastersdatasciencesite&utm_medium=link&utm_campaign=schools_california--list&utm_content=1002216",NA,"Online","27 units"
"13","California State University-East Bay","Hayward, California","Master of Science in Business Administration: Business Analytics Option","http://www20.csueastbay.edu/cbe/msba/index.html","College of Business and Economics","http://www20.csueastbay.edu/students/financing-your-education/paying-fees/","http://www20.csueastbay.edu/cbe/msba/Curriculum.html","Computer Science","Campus","45-53 units"
"14","California State University-Fullerton","Fullerton, California","Certificate in Data Science","http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science","University Extended Education","http://extension.fullerton.edu/ProfessionalDevelopment/FAQs","http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science","Technical Bachelor's Degree","Online","5 courses"
"15","California State University-Fullerton","Fullerton, California","Master of Science in Information Systems and Decision Sciences","http://business.fullerton.edu/graduateprograms/msis/","Mihaylo College of Business and Economics","http://www.fullerton.edu/financialaid/appinfo/cost.htm","http://business.fullerton.edu/graduateprograms/msis/",NA,"Campus","18 months/30 hours"
"16","California State University-Long Beach","Long Beach, California","Master of Science in Applied Statistics","http://www.csulb.edu/divisions/aa/catalog/current/cnsm/mathematics/mathms05.html","Department of Mathematics and Statistics","http://www.csulb.edu/depts/enrollment/registration/fees_basics.html","http://web.csulb.edu/divisions/aa/catalog/current/cnsm/mathematics/mathms05.html","Math, Statistics","Campus","30 units"
"17","California State University-San Bernardino","San Bernardino, California","Master of Business Administration (M.B.A.) - Business Intelligence and Information Technology Focus","http://bulletin.csusb.edu/colleges-schools-departments/business-public-administration/mba/","College of Business and Public Administration","http://bulletin.csusb.edu/financial-information/#feestext","http://bulletin.csusb.edu/colleges-schools-departments/business-public-administration/mba/",NA,"Campus","60 units"
"18","Chapman University","Orange, California","Master of Science in Computational and Data Sciences","http://www.chapman.edu/scst/graduate/ms-computational-sciences.aspx","Schmid College of Science & Technology","http://www.chapman.edu/students/tuition-and-aid/student-business-services/2014-2015-tuition.aspx","https://www.chapman.edu/catalog/oc/current/gr/content/5165.htm#o9072","Math, Statistics","Campus","31-34 credits"
"19","Claremont Graduate University","Claremont, California","Masters of Science in Information Systems & Technology: Concentration in Data Science & Analytics","http://www.cgu.edu/pages/6650.asp","Center for Information Systems and Technology (CISAT)","http://www.cgu.edu/financialaid#SS-FA-Tuition","http://www.cgu.edu/pages/6650.asp",NA,"Campus","36 units"
"20","National University","La Jolla, California","Master of Science in Data Analytics","http://www.nu.edu/OurPrograms/SchoolOfEngineeringAndTechnology/ComputerScienceAndInformationSystems/Programs/MasterofScienceinDataAnalytics.html","School of Engineering, Technology and Media","http://www.nu.edu/Admissions/Graduate/GraduateTuition.html","http://www.nu.edu/OurPrograms/SchoolOfEngineeringAndTechnology/ComputerScienceAndInformationSystems/Programs/MasterofScienceinDataAnalytics.html",NA,"Campus","54 units"
"21","National University","La Jolla, California","Master of Science in Health and Life Science Analytics","http://www.nu.edu/OurPrograms/SchoolOfHealthAndHumanServices/CommunityHealth/Programs/MasterofScienceinHealth&LifeScienceAnalytics.html","School of Health and Human Services","http://www.nu.edu/Admissions/Graduate/GraduateTuition.html","http://www.nu.edu/OurPrograms/SchoolOfHealthAndHumanServices/CommunityHealth/Programs/MasterofScienceinHealth&LifeScienceAnalytics.html",NA,"Campus","58.5 units"
